NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,TerminoPartida
Player 1,5,3,41,13,27,23,0,75,0,0,0.0,2.0,Half-Life 2,18.03
Player 1,6,4,78,28,33,29,0,25,0,10,0.0,0.0,Half-Life 2,20.13
Player 1,2,3,78,28,31,26,100,0,0,0,2.5,0.0,Half-Life 2,20.16
Player 1,4,3,73,45,21,19,0,50,0,15,0.0,1.0,Half-Life 2,17.22
Player 1,5,3,75,45,23,20,25,0,0,0,0.5,0.0,Half-Life 2,17.23
Player 1,5,3,77,44,23,20,0,50,0,5,0.0,2.5,Half-Life 2,17.24
Player 1,4,3,80,44,22,20,0,50,0,5,0.0,3.0,Half-Life 2,17.26
Player 1,6,3,80,45,22,19,0,75,0,0,0.0,3.0,Half-Life 2,17.27
Player 1,3,3,80,45,22,20,0,100,0,25,0.0,3.0,Half-Life 2,17.28
Player 1,6,3,80,45,21,19,0,75,0,0,0.0,0.0,Half-Life 2,17.30
Player 1,1,3,73,45,22,19,0,100,0,20,0.0,2.0,Half-Life 2,17.31
Player 1,5,3,73,45,22,19,100,25,5,5,0.0,0.0,Half-Life 2,17.33
Player 1,6,3,74,45,22,19,100,50,15,25,0.0,0.0,Half-Life 2,17.41
Player 1,5,3,49,12,27,23,0,50,0,20,0.0,0.0,Half-Life 2,14.55
Player 1,1,3,52,12,32,27,150,75,25,5,1.5,1.5,Half-Life 2,14.58
Player 1,5,3,53,13,32,27,25,0,0,0,1.0,0.0,Half-Life 2,15.01
Player 1,4,3,55,14,28,24,50,0,20,0,3.0,0.0,Half-Life 2,17.12
Player 1,5,3,57,14,30,26,25,0,20,0,2.0,0.0,Half-Life 2,17.15
Player 1,4,4,59,14,30,25,50,0,0,0,2.0,0.0,Half-Life 2,17.21
Player 1,6,3,62,14,29,25,50,125,10,10,2.5,2.5,Half-Life 2,17.24
Player 1,5,3,58,17,31,27,0,50,0,10,0.0,1.5,Half-Life 2,18.21
Player 1,5,3,62,17,34,29,0,75,0,5,0.0,0.0,Half-Life 2,18.24
Player 1,5,3,60,17,34,29,0,25,0,0,0.0,2.5,Half-Life 2,18.27
Player 1,3,3,61,17,31,27,0,100,0,15,0.0,3.0,Half-Life 2,18.34
Player 1,3,3,58,17,28,25,150,0,0,0,2.0,0.0,Half-Life 2,18.54
Player 1,4,3,59,31,30,26,100,25,5,25,1.5,1.5,Half-Life 2,13.47
Player 1,3,3,61,31,31,27,125,0,15,0,0.5,0.0,Half-Life 2,13.51
Player 1,4,3,60,31,28,25,100,75,0,25,0.5,0.5,Half-Life 2,13.54
Player 1,5,3,61,32,33,29,0,50,0,20,0.0,0.0,Half-Life 2,13.58
Player 1,5,3,61,32,28,23,50,0,20,0,3.0,0.0,Half-Life 2,14.06
Player 1,5,3,65,32,28,24,75,50,25,25,1.0,1.0,Half-Life 2,14.55
Player 1,4,3,72,57,31,27,50,0,10,0,0.5,0.0,Half-Life 2,14.25
Player 1,2,3,73,57,27,24,125,0,15,0,0.5,0.0,Half-Life 2,14.29
Player 1,6,3,73,57,31,27,0,75,0,0,0.0,0.5,Half-Life 2,14.33
Player 1,5,3,75,56,31,27,50,50,0,25,0.5,0.5,Half-Life 2,14.36
Player 1,4,3,74,57,31,27,50,0,5,0,2.0,0.0,Half-Life 2,14.39
Player 1,2,4,78,57,30,25,150,0,15,0,1.0,0.0,Half-Life 2,14.45
Player 1,5,4,80,58,27,24,0,50,0,5,0.0,0.5,Half-Life 2,15.26
Player 1,5,4,7,13,9,9,0,125,0,5,0.0,1.5,Spelunky,10.05
Player 1,3,3,9,13,9,10,150,0,15,0,1.0,0.0,Spelunky,10.10
Player 1,3,3,8,13,9,10,100,0,20,0,1.0,0.0,Spelunky,10.13
Player 1,4,3,10,12,9,9,0,75,0,0,0.0,3.0,Spelunky,10.22
Player 1,5,4,8,12,9,10,100,150,25,0,3.0,3.0,Spelunky,10.26
Player 1,4,3,8,12,9,9,25,0,20,0,2.0,0.0,Spelunky,11.09
Player 1,5,3,8,12,10,10,100,75,0,25,1.5,1.5,Spelunky,11.13
Player 1,3,3,12,12,9,9,100,0,10,0,1.5,0.0,Spelunky,11.16
Player 1,5,3,10,12,9,10,0,50,0,10,0.0,2.5,Spelunky,11.19
Player 1,3,3,8,12,9,9,50,50,10,25,1.0,1.0,Spelunky,11.24
Player 1,5,3,10,12,9,9,0,50,0,15,0.0,0.0,Spelunky,11.27
Player 1,2,3,9,12,10,10,25,0,15,0,2.5,0.0,Spelunky,11.38
Player 1,2,4,10,12,9,9,0,25,0,0,0.0,2.5,Spelunky,11.42
Player 1,3,3,10,12,9,9,75,50,5,5,3.0,3.0,Spelunky,11.58
Player 1,4,3,9,12,9,9,100,0,10,0,1.5,0.0,Spelunky,12.01
Player 1,3,3,10,12,9,9,50,0,25,0,0.0,0.0,Spelunky,12.04
Player 1,2,4,12,12,9,9,100,75,20,20,1.0,1.0,Spelunky,12.08
Player 1,3,3,12,14,9,10,50,0,5,0,3.0,0.0,Spelunky,13.10
Player 1,2,3,14,14,9,9,125,100,5,20,2.0,2.0,Spelunky,13.13
Player 1,1,3,17,14,9,9,0,100,0,15,0.0,0.5,Spelunky,13.19
Player 1,1,4,18,14,9,9,0,75,0,0,0.0,0.0,Spelunky,13.23
Player 1,2,4,19,14,9,9,100,0,0,0,1.5,0.0,Spelunky,13.27
Player 1,2,3,18,14,9,9,0,100,0,0,0.0,3.0,Spelunky,13.30
Player 1,2,4,19,14,9,9,150,50,20,5,3.0,3.0,Spelunky,13.34
Player 1,2,3,19,14,9,9,50,150,5,25,3.0,3.0,Spelunky,13.38
Player 1,3,3,16,13,5,6,0,75,0,10,0.0,1.5,Spelunky,18.13
Player 1,3,3,28,13,10,7,0,50,0,25,0.0,0.5,Spelunky,18.17
Player 1,2,3,26,13,10,7,0,75,0,10,0.0,0.5,Spelunky,18.20
Player 1,1,3,28,13,10,7,0,100,0,5,0.0,1.5,Spelunky,18.27
Player 1,5,3,28,13,9,9,150,125,0,10,0.0,0.0,Spelunky,18.30
Player 1,0,3,30,13,9,9,125,100,25,5,1.0,1.0,Spelunky,18.33
Player 1,5,3,31,13,9,9,0,125,0,20,0.0,0.0,Spelunky,18.37
Player 1,4,3,27,13,8,9,50,0,25,0,0.0,0.0,Spelunky,13.59
Player 1,3,3,30,13,9,10,50,0,25,0,2.5,0.0,Spelunky,14.03
Player 1,4,3,30,13,9,9,75,0,20,0,1.5,0.0,Spelunky,14.06
Player 1,5,3,30,13,9,9,50,0,5,0,0.0,0.0,Spelunky,14.09
Player 1,2,3,30,13,9,9,125,0,15,0,0.5,0.0,Spelunky,14.13
Player 1,5,3,31,13,9,10,50,150,25,10,0.5,0.5,Spelunky,14.16
Player 1,1,3,29,13,9,10,150,75,5,10,1.5,1.5,Spelunky,14.19
Player 1,5,4,31,13,9,10,50,150,10,10,0.0,0.0,Spelunky,14.23
Player 1,3,3,30,13,10,10,75,125,20,5,0.0,0.5,Spelunky,14.26
Player 1,5,3,30,13,9,9,50,100,15,5,0.0,0.0,Spelunky,14.29
Player 1,4,4,30,13,9,10,0,75,0,0,0.0,1.0,Spelunky,14.33
Player 1,1,3,15,13,9,9,150,0,10,0,1.5,0.0,Spelunky,14.36
Player 1,6,3,35,12,9,10,50,0,25,0,2.5,0.0,Spelunky,15.05
Player 1,5,3,36,12,10,10,25,50,15,0,0.5,0.5,Spelunky,15.08
Player 1,2,4,27,12,9,9,125,0,5,0,3.0,0.0,Spelunky,15.12
Player 1,4,3,28,13,9,9,50,0,0,0,1.5,0.0,Spelunky,16.27
Player 1,6,4,31,12,9,10,25,100,20,20,0.0,0.0,Spelunky,16.31
Player 1,2,3,29,12,9,9,125,0,10,0,2.5,0.0,Spelunky,16.34
Player 1,5,3,29,12,9,9,50,50,0,25,0.0,1.0,Spelunky,16.37
Player 1,2,4,31,12,9,10,150,125,20,25,2.0,2.0,Spelunky,16.41
Player 1,1,3,30,12,9,9,125,0,10,0,1.5,0.0,Spelunky,16.44
Player 1,5,3,32,12,9,10,25,0,0,0,3.0,3.0,Spelunky,16.47
Player 1,5,4,32,12,11,10,50,0,5,0,0.5,0.0,Spelunky,16.51
Player 1,3,3,33,12,9,10,100,75,15,15,2.5,2.5,Spelunky,16.54
Player 1,5,4,33,12,9,10,0,50,0,25,0.0,3.0,Spelunky,17.00
Player 1,2,3,34,13,9,9,125,0,15,0,3.0,0.0,Spelunky,17.04
Player 1,3,3,35,13,11,10,0,75,0,15,0.0,1.5,Spelunky,17.07
Player 1,4,3,28,13,9,9,25,0,0,0,2.5,0.0,Spelunky,16.08
Player 1,2,3,25,13,9,9,100,150,20,20,3.0,3.0,Spelunky,16.11
Player 1,1,3,29,12,9,9,0,125,0,15,0.0,2.5,Spelunky,17.58
Player 1,5,3,31,12,10,10,50,75,25,0,3.0,3.0,Spelunky,18.01
Player 1,6,3,30,12,9,9,100,50,0,5,0.0,0.0,Spelunky,18.04
Player 1,1,3,29,12,9,10,125,0,5,0,1.0,0.0,Spelunky,18.08
Player 1,5,3,30,12,9,10,25,0,20,0,0.5,0.0,Spelunky,18.11
Player 1,3,3,29,12,9,9,0,100,0,5,0.0,3.0,Spelunky,18.14
Player 1,6,4,30,12,9,9,0,100,0,10,0.0,0.0,Spelunky,18.18
Player 1,2,3,31,12,9,9,100,50,20,20,1.5,1.5,Spelunky,18.21
Player 1,4,3,26,12,9,10,50,50,5,25,2.5,2.5,Spelunky,18.47
Player 1,5,4,29,12,9,9,100,0,25,0,3.0,0.0,Spelunky,18.51
Player 1,5,4,30,12,9,10,75,125,0,0,2.0,2.0,Spelunky,18.55
Player 1,3,3,32,12,10,10,125,0,15,0,3.0,0.0,Spelunky,18.58
Player 1,3,3,30,12,9,9,0,100,0,5,0.0,1.5,Spelunky,19.01
Player 1,4,3,30,12,9,9,75,50,10,0,3.0,3.0,Spelunky,19.36
Player 1,6,3,31,12,9,9,0,125,0,5,0.0,0.0,Spelunky,19.46
Player 1,3,3,30,12,9,9,0,100,0,25,0.0,0.5,Spelunky,19.50
Player 1,1,3,26,12,8,9,0,125,0,5,0.0,2.5,Spelunky,15.45
Player 1,2,4,36,15,8,8,0,125,0,20,0.0,0.5,Spelunky,17.45
Player 1,5,3,40,16,9,9,0,50,0,20,0.0,0.5,Spelunky,17.48
Player 1,4,3,40,16,9,9,0,50,0,5,0.0,2.5,Spelunky,17.51
Player 1,5,3,39,16,9,9,50,0,10,0,0.5,0.0,Spelunky,17.54
Player 1,5,3,41,16,9,9,0,25,0,0,0.0,2.5,Spelunky,17.58
Player 1,5,4,39,16,9,9,0,50,0,25,0.0,1.0,Spelunky,18.03
Player 1,3,3,38,16,9,9,0,150,0,0,0.0,3.0,Spelunky,18.16
Player 1,2,3,41,31,9,9,100,125,5,15,1.0,1.0,Spelunky,14.16
Player 1,5,4,40,31,9,9,0,25,0,25,0.0,0.5,Spelunky,14.21
Player 1,4,3,42,31,9,9,75,50,10,20,1.5,1.5,Spelunky,14.25
Player 1,6,3,44,31,9,9,50,0,0,0,2.0,0.0,Spelunky,14.29
Player 1,5,4,43,31,9,9,75,0,15,0,0.0,2.0,Spelunky,14.37
Player 1,0,4,42,31,9,9,150,0,5,0,3.0,0.0,Spelunky,14.41
Player 1,2,3,46,31,9,9,0,150,0,25,0.0,0.5,Spelunky,14.44
Player 1,5,3,45,32,9,9,75,50,25,10,3.0,3.0,Spelunky,14.49
Player 1,4,3,46,31,10,9,100,150,10,20,1.5,1.5,Spelunky,15.04
Player 1,5,3,48,32,9,9,0,150,0,10,0.0,0.0,Spelunky,15.08
Player 1,6,3,48,32,9,9,0,125,0,10,0.0,0.0,Spelunky,15.11
Player 1,2,3,51,32,9,9,0,125,0,20,0.0,3.0,Spelunky,15.15
Player 1,5,3,52,32,9,9,75,0,20,0,2.5,0.0,Spelunky,15.19
Player 1,5,3,50,32,9,9,125,125,20,15,0.0,0.0,Spelunky,15.22
Player 1,6,4,51,32,9,9,150,100,25,10,0.0,0.0,Spelunky,15.26
Player 1,4,3,51,56,9,9,125,0,0,0,2.5,0.0,Spelunky,12.18
Player 1,5,3,52,57,9,9,0,50,0,25,0.0,2.5,Spelunky,12.21
Player 1,6,3,52,55,9,9,75,50,10,5,0.0,0.0,Spelunky,14.21
Player 1,2,3,57,56,9,9,125,0,0,0,1.5,0.0,Spelunky,14.48
Player 1,3,3,56,56,9,9,75,50,5,20,0.5,0.5,Spelunky,14.51
Player 1,6,3,57,56,9,9,0,50,0,25,0.0,1.0,Spelunky,14.55
Player 1,6,4,58,56,9,9,25,25,10,20,0.5,0.5,Spelunky,14.59
Player 1,5,3,61,56,9,9,50,0,15,0,1.0,0.0,Spelunky,15.02
Player 1,5,3,60,57,10,9,50,150,10,20,0.5,0.5,Spelunky,15.05
Player 1,6,4,61,57,9,9,0,50,0,5,0.0,0.5,Spelunky,15.09
Player 1,5,3,60,57,9,9,0,50,0,25,0.0,3.0,Spelunky,15.12
Player 1,5,3,60,57,9,9,100,25,0,25,0.0,3.0,Spelunky,15.15
Player 1,6,3,60,57,9,9,25,50,0,25,0.5,0.5,Spelunky,15.18
Player 1,5,3,61,57,9,9,0,75,0,10,0.0,1.5,Spelunky,15.22
Player 1,5,3,65,57,9,9,100,0,15,0,1.0,0.0,Spelunky,15.29
Player 1,6,3,65,57,10,9,0,50,0,15,0.0,2.0,Spelunky,15.44
Player 1,2,3,65,57,9,9,125,75,5,20,1.0,1.0,Spelunky,15.47
Player 1,5,3,64,58,9,9,25,150,25,15,2.0,2.0,Spelunky,15.50
Player 1,4,4,67,58,9,9,100,0,15,0,2.0,0.0,Spelunky,15.54
Player 1,5,3,66,58,9,9,0,75,0,25,0.0,0.5,Spelunky,15.57
Player 1,5,3,67,58,9,9,50,50,25,5,2.5,2.5,Spelunky,16.01
Player 1,5,3,65,58,10,9,0,100,0,25,0.0,2.0,Spelunky,16.04
Player 1,4,3,67,79,9,9,0,100,0,15,0.0,2.0,Spelunky,15.53
Player 1,2,4,68,79,9,9,125,0,15,0,0.5,0.0,Spelunky,15.57
Player 1,1,3,67,79,9,9,150,0,10,0,0.5,0.0,Spelunky,16.00
Player 1,3,4,69,79,10,9,0,100,0,20,0.0,0.5,Spelunky,16.04
Player 1,5,3,68,79,10,9,25,25,15,0,3.0,3.0,Spelunky,16.07
