NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,JogariaNovamente,EstadoEspirito,TerminoPartida,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 1,3,4,38,14,10,10,0,50,0,10,0.0,1.0,Half-Life 2,NAO,Feliz,10,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 2,2,4,25,12,6,7,50,0,5,0,1.5,0.0,Half-Life 2,NAO,Feliz,15,29,M,Doutorado Ciências da Computação,0,-1080p,60,Nenhum,0,Nenhum
Player 3,4,5,21,11,6,7,0,50,0,5,0.0,3.0,Half-Life 2,SIM,Triste,21,29,F,Mestrado Ciências da Computação,0,-1080p,60,Nenhum,0,Nenhum
Player 1,4,3,30,13,8,8,50,100,10,20,3.0,3.0,Half-Life 2,SIM,Feliz,14,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 1,5,3,40,13,10,10,0,100,0,5,0.0,3.0,Half-Life 2,SIM,Feliz,14,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 1,5,4,39,14,9,10,75,100,5,25,3.0,3.0,Half-Life 2,SIM,Feliz,14,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 1,4,4,1,10,0,4,0,150,0,5,0.0,0.5,Half-Life 2,NAO,Indiferente,14,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 1,5,3,0,10,0,4,125,75,25,0,2.5,2.5,Half-Life 2,SIM,Feliz,15,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 1,4,3,37,14,9,9,125,0,10,0,3.0,0.0,Half-Life 2,NAO,Indiferente,15,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 4,0,3,0,9,0,4,150,0,25,0,1.0,0.0,Half-Life 2,NAO,Feliz,19,29,M,Doutorado Física,8,1080p,144,Nenhum,0,Mouse
Player 5,4,4,21,11,5,7,0,100,0,5,0.0,1.5,Half-Life 2,SIM,Indiferente,19,23,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 5,5,3,39,13,10,10,0,100,0,25,0.0,0.5,Half-Life 2,SIM,Indiferente,19,23,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 6,4,4,33,13,9,9,0,125,0,10,0.0,2.5,Half-Life 2,SIM,Indiferente,19,23,M,Sistemas de Informação,4,1080p,60,Nenhum,0,Mouse e Manete
Player 7,1,5,18,13,5,7,0,50,0,15,0.0,0.5,Half-Life 2,NAO,Indiferente,20,21,M,Sistemas de Informação,5,1080p,144,Nenhum,0,Mouse
Player 7,2,5,26,14,6,8,0,50,0,25,0.0,0.0,Half-Life 2,NAO,Indiferente,20,21,M,Sistemas de Informação,5,1080p,144,Nenhum,0,Mouse
Player 8,4,3,40,15,10,10,50,125,15,25,0.5,0.5,Half-Life 2,SIM,Indiferente,20,20,M,Sistemas de Informação,2,1080p,75,Nenhum,0,Mouse
Player 3,4,4,40,15,10,10,0,25,0,10,0.0,0.0,Half-Life 2,SIM,Indiferente,20,29,F,Mestrado Ciências da Computação,0,-1080p,60,Nenhum,0,Nenhum
Player 9,2,3,37,17,9,10,150,150,15,25,1.0,1.0,Half-Life 2,NAO,Indiferente,17,21,M,Sistemas de Informação,8,1080p,60,Half-Life 2,-1,Mouse
Player 9,4,4,36,17,9,9,0,50,0,10,0.0,2.0,Half-Life 2,SIM,Indiferente,17,21,M,Sistemas de Informação,8,1080p,60,Half-Life 2,-1,Mouse
Player 10,5,3,31,13,8,8,75,0,20,0,2.5,0.0,Half-Life 2,SIM,Feliz,18,19,M,Física,8,1080p,60,Nenhum,0,Mouse
Player 11,4,3,39,14,9,10,125,125,0,20,0.5,0.5,Half-Life 2,SIM,Triste,18,19,M,Física,3,1080p,60,Nenhum,0,Mouse
Player 10,5,3,41,14,10,10,0,50,0,25,0.0,1.0,Half-Life 2,SIM,Feliz,18,19,M,Física,8,1080p,60,Nenhum,0,Mouse
Player 11,4,3,40,14,10,10,125,0,10,0,3.0,0.0,Half-Life 2,SIM,Triste,18,19,M,Física,3,1080p,60,Nenhum,0,Mouse
Player 11,4,3,39,14,10,10,0,100,0,20,0.0,1.0,Half-Life 2,SIM,Triste,18,19,M,Física,3,1080p,60,Nenhum,0,Mouse
Player 11,4,3,37,14,9,9,25,0,20,0,2.5,0.0,Half-Life 2,SIM,Triste,18,19,M,Física,3,1080p,60,Nenhum,0,Mouse
Player 10,5,4,39,14,10,10,100,125,10,10,1.5,1.5,Half-Life 2,SIM,Feliz,18,19,M,Física,8,1080p,60,Nenhum,0,Mouse
Player 10,5,3,38,15,9,9,100,125,15,20,0.0,2.0,Half-Life 2,SIM,Feliz,19,19,M,Física,8,1080p,60,Nenhum,0,Mouse
Player 12,4,3,33,15,9,9,100,75,10,0,2.5,2.5,Half-Life 2,SIM,Feliz,20,25,M,Ciências da computação,5,-1080p,60,Half-Life 2,-1,Mouse
Player 13,4,3,37,14,9,9,50,0,10,0,1.5,0.0,Half-Life 2,NAO,Triste,20,22,M,Sistemas de Informação,2,1080p,60,Nenhum,0,Manete
Player 14,4,4,24,14,8,8,25,100,5,25,2.0,2.0,Spelunky,SIM,Feliz,20,21,F,Ciências Biológicas,-1,1080p,60,Nenhum,0,Mouse
Player 15,3,4,23,15,7,8,0,50,0,20,0.0,0.0,Spelunky,SIM,Feliz,20,56,F,Sistemas de Informação,0,-1080p,60,Nenhum,0,Nenhum
Player 16,0,3,13,17,9,9,0,25,0,25,0.0,1.5,FEAR,NAO,Triste,20,24,M,Sistemas de Informação,6,1080p,60,Nenhum,0,Mouse e Celular
Player 16,5,3,38,15,10,10,0,50,0,5,0.0,0.5,Half-Life 2,SIM,Feliz,20,24,M,Sistemas de Informação,6,1080p,60,Nenhum,0,Mouse e Celular
Player 5,6,4,27,15,8,9,50,100,0,5,0.0,0.0,Spelunky,SIM,Triste,20,23,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 1,3,3,39,15,10,10,50,0,20,0,3.0,0.0,Half-Life 2,NAO,Feliz,12,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 1,4,3,39,15,10,10,25,0,10,0,3.0,0.0,Half-Life 2,SIM,Indiferente,12,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 1,4,3,25,18,19,14,25,0,10,0,1.5,0.0,FEAR,SIM,Indiferente,12,23,M,Sistemas de Informação,0,1080p,60,Nenhum,0,Nenhum
Player 12,5,3,39,16,9,9,75,50,0,20,2.0,2.0,Half-Life 2,SIM,Feliz,12,25,M,Ciências da computação,5,-1080p,60,Half-Life 2,-1,Mouse
Player 17,4,3,37,16,10,10,0,150,0,25,0.0,2.0,Half-Life 2,SIM,Feliz,13,18,F,Ciências da Computação,1,1080p,60,Nenhum,0,Mouse e Manete
Player 17,6,4,26,15,8,9,0,150,0,5,0.0,1.0,Spelunky,SIM,Feliz,13,18,F,Ciências da Computação,1,1080p,60,Nenhum,0,Mouse e Manete
Player 17,6,3,18,18,11,10,0,125,0,5,0.0,2.0,FEAR,SIM,Feliz,13,18,F,Ciências da Computação,1,1080p,60,Nenhum,0,Mouse e Manete
Player 17,6,4,28,18,20,14,100,0,20,0,2.5,0.0,FEAR,SIM,Feliz,13,18,F,Ciências da Computação,1,1080p,60,Nenhum,0,Mouse e Manete
