NOME,QoE,TerminoPartida,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,JogariaNovamente,EstadoEspirito
Player 81,6,16.55,20,30,0,15,3.0,3.0,Spelunky,SIM,Feliz
Player 81,6,16.56,15,0,0,0,2.0,0.0,Spelunky,SIM,Feliz
Player 81,6,16.58,15,0,5,0,2.5,0.0,Spelunky,SIM,Feliz
Player 81,0,16.59,30,30,10,0,0.0,2.0,Spelunky,NAO,Feliz
Player 82,6,17.04,0,10,0,10,0.0,2.5,Rise of Tomb Raider,SIM,Indiferente
Player 82,6,17.05,0,15,0,5,0.0,3.0,Rise of Tomb Raider,SIM,Indiferente
Player 82,0,17.07,0,50,0,5,0.0,1.5,Rise of Tomb Raider,NAO,Indiferente
Player 1,0,17.15,0,50,0,10,0.0,1.5,Spelunky,NAO,Indiferente
Player 1,0,17.17,0,30,0,5,0.0,2.5,Spelunky,NAO,Indiferente
Player 1,5,17.18,0,10,0,15,0.0,2.0,Spelunky,SIM,Indiferente
Player 1,5,17.2,20,30,0,15,0.0,2.5,Spelunky,SIM,Indiferente
Player 1,5,17.21,20,50,10,15,0.0,0.0,Spelunky,SIM,Indiferente
Player 1,4,17.22,10,30,10,10,0.0,2.0,Spelunky,SIM,Indiferente
Player 1,6,17.24,10,20,5,0,2.0,2.0,Spelunky,SIM,Indiferente
Player 1,2,17.25,20,20,15,10,3.0,3.0,Spelunky,NAO,Indiferente
Player 1,5,17.26,15,30,15,15,2.5,2.5,Spelunky,SIM,Indiferente
Player 1,6,17.27,15,0,0,0,3.0,0.0,Spelunky,SIM,Indiferente
Player 1,6,17.33,20,20,5,15,0.0,0.0,Spelunky,SIM,Indiferente
Player 1,0,17.35,50,15,10,0,3.0,3.0,Spelunky,NAO,Indiferente
Player 1,5,17.37,15,0,5,0,1.5,0.0,Spelunky,SIM,Indiferente
Player 1,0,17.38,50,15,10,15,1.5,1.5,Spelunky,NAO,Indiferente
Player 1,0,17.49,0,20,0,5,0.0,2.5,Spelunky,NAO,Indiferente
Player 1,6,17.51,15,15,5,5,0.0,0.0,Spelunky,SIM,Indiferente
Player 1,4,17.52,10,0,0,0,2.0,0.0,Spelunky,SIM,Indiferente
Player 1,6,17.55,2,0,5,0,2.5,0.0,Spelunky,SIM,Indiferente
Player 1,5,17.56,2,0,10,0,1.5,0.0,Spelunky,SIM,Indiferente
Player 1,6,17.57,0,15,0,15,0.0,1.5,Spelunky,SIM,Indiferente
Player 1,6,17.59,0,15,0,5,0.0,2.5,Spelunky,SIM,Indiferente
Player 1,2,18.0,20,0,15,0,1.5,0.0,Spelunky,NAO,Indiferente
Player 1,1,18.02,0,20,0,15,0.0,1.5,Spelunky,NAO,Indiferente
Player 1,3,18.16,15,0,10,0,2.5,0.0,Spelunky,SIM,Indiferente
Player 1,4,18.17,15,10,15,10,0.0,1.5,Spelunky,SIM,Indiferente
Player 1,4,18.18,0,10,0,10,0.0,0.0,Spelunky,SIM,Indiferente
Player 1,6,18.19,10,15,0,15,1.5,1.5,Spelunky,SIM,Indiferente
Player 1,0,18.2,20,2,15,10,0.0,3.0,Spelunky,NAO,Indiferente
Player 1,0,18.22,0,30,0,5,0.0,2.0,Spelunky,NAO,Indiferente
Player 1,0,18.23,0,30,0,5,0.0,1.5,Spelunky,NAO,Indiferente
Player 1,0,18.24,0,30,0,5,0.0,3.0,Spelunky,NAO,Indiferente
Player 1,0,18.25,0,30,0,10,0.0,2.0,Spelunky,NAO,Indiferente
Player 1,2,18.27,0,20,0,10,0.0,2.5,Spelunky,NAO,Indiferente
Player 1,0,18.28,30,0,10,0,1.5,0.0,Spelunky,NAO,Indiferente
Player 1,4,18.32,15,0,5,0,3.0,0.0,Spelunky,SIM,Indiferente
Player 1,4,18.33,0,20,0,0,0.0,2.5,Spelunky,SIM,Indiferente
Player 1,5,18.37,20,15,0,15,2.5,2.5,Spelunky,SIM,Indiferente
Player 1,6,19.49,15,0,0,0,2.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,19.52,0,15,0,0,0.0,2.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,19.53,0,30,0,0,0.0,1.5,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,19.54,2,20,15,15,3.0,3.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,19.56,0,2,0,10,0.0,2.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,19.57,10,10,15,0,1.5,1.5,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,19.58,2,10,15,10,2.5,2.5,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,20.0,2,0,5,0,1.5,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,20.02,0,2,0,15,0.0,1.5,Rise of Tomb Raider,SIM,Indiferente
Player 1,1,20.03,20,10,10,0,2.0,2.0,Rise of Tomb Raider,NAO,Indiferente
Player 1,0,20.04,0,30,0,15,0.0,1.5,Rise of Tomb Raider,NAO,Indiferente
Player 1,0,20.06,30,15,5,10,2.5,2.5,Rise of Tomb Raider,NAO,Indiferente
Player 1,2,20.08,0,20,0,5,0.0,2.0,Rise of Tomb Raider,NAO,Indiferente
Player 1,5,20.09,10,0,0,0,2.5,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,20.1,10,30,0,10,1.5,1.5,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,20.11,15,15,5,0,2.0,2.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,20.12,0,10,0,15,0.0,3.0,Rise of Tomb Raider,SIM,Indiferente
Player 1,6,20.14,15,2,15,10,0.0,2.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,3,15.53,20,2,15,5,2.5,2.5,Rise of Tomb Raider,SIM,Indiferente
Player 74,2,15.54,15,0,10,0,1.5,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,3,16.01,30,0,0,0,2.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,3,16.02,0,15,0,15,0.0,1.5,Rise of Tomb Raider,SIM,Indiferente
Player 74,3,16.05,0,2,0,5,0.0,2.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,3,16.06,10,0,5,0,1.5,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,3,16.11,2,0,10,0,3.0,0.0,Rise of Tomb Raider,SIM,Indiferente
Player 74,3,16.18,30,2,0,5,0.0,0.0,Rise of Tomb Raider,NAO,Indiferente
Player 74,4,16.32,15,15,5,15,1.5,1.5,Rise of Tomb Raider,SIM,Indiferente
Player 74,4,16.38,10,15,10,10,0.0,2.0,Rise of Tomb Raider,SIM,Indiferente
