NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,TerminoPartida,JogariaNovamente,EstadoEspirito,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 1,6,3.0,73.0,30.0,8.0,9.0,125,0,0,0,0.0,0.0,Half-Life 2,17.32,,,,,,,,,,,
Player 10,4,3.0,40.0,14.0,9.0,9.0,0,50,0,20,0.0,2.5,Half-Life 2,20.7,SIM,Indiferente,23.0,M,Sistemas de Informação,0.0,1080p,60.0,Nenhum,0.0,Nenhum
Player 44,6,,,,,,40,35,30,0,0.0,0.0,Rise of Tomb Raider,21.44,SIM,Indiferente,,,,,,,,,
Player 1,0,,,,,,30,0,10,0,2.5,0.0,Spelunky,17.03,NAO,Indiferente,,,,,,,,,
Player 81,6,,,,,,15,0,0,0,2.0,0.0,Spelunky,16.56,SIM,Feliz,,,,,,,,,
Player 1,5,3.0,61.0,32.0,28.0,23.0,50,0,20,0,3.0,0.0,Half-Life 2,14.06,,,,,,,,,,,
Player 1,2,3.0,36.0,15.0,8.0,9.0,50,0,15,0,1.5,0.0,Half-Life 2,20.42,,,,,,,,,,,
Player 44,3,3.0,22.0,16.0,19.0,14.0,75,0,0,0,0.5,0.0,FEAR,16.4,SIM,Indiferente,28.0,M,Doutorado Ciências da Computação,8.0,1080p,144.0,Nenhum,0.0,Mouse
Player 3,6,3.0,38.0,13.0,9.0,9.0,125,0,15,0,0.0,0.0,Half-Life 2,16.52,,,,,,,,,,,
Player 1,4,3.0,36.0,15.0,9.0,10.0,0,75,0,0,0.0,1.5,Half-Life 2,17.13,,,,,,,,,,,
Player 4,6,4.0,27.0,14.0,8.0,8.0,0,75,0,20,0.0,0.5,Spelunky,17.38,,,,,,,,,,,
Player 1,4,,,,,,0,15,0,10,0.0,1.5,Spelunky,17.47,SIM,Indiferente,,,,,,,,,
Player 3,4,3.0,38.0,14.0,8.0,9.0,25,25,15,5,0.5,0.5,Half-Life 2,14.56,,,,,,,,,,,
Player 1,6,3.0,38.0,15.0,8.0,9.0,50,50,20,15,0.0,0.0,Half-Life 2,14.12,,,,,,,,,,,
Player 1,6,4.0,78.0,28.0,33.0,29.0,0,25,0,10,0.0,0.0,Half-Life 2,20.13,,,,,,,,,,,
Player 1,6,3.0,67.0,33.0,24.0,21.0,75,0,25,0,0.0,0.0,Half-Life 2,15.53,,,,,,,,,,,
Player 1,6,,,,,,0,15,0,0,0.0,2.0,Rise of Tomb Raider,19.52,SIM,Indiferente,,,,,,,,,
Player 83,0,,,,,,0,2,0,15,0.0,2.0,Rise of Tomb Raider,19.38,SIM,Feliz,,,,,,,,,
Player 1,3,3.0,24.0,16.0,17.0,12.0,0,75,0,25,0.0,3.0,FEAR,13.14,,,,,,,,,,,
Player 3,1,3.0,37.0,15.0,9.0,9.0,0,75,0,20,0.0,2.5,Half-Life 2,17.43,,,,,,,,,,,
Player 1,6,3.0,28.0,12.0,9.0,9.0,125,25,15,15,0.0,0.0,Spelunky,13.46,,,,,,,,,,,
Player 3,2,3.0,41.0,15.0,9.0,9.0,50,25,25,5,2.0,2.0,Half-Life 2,14.11,,,,,,,,,,,
Player 3,0,3.0,34.0,15.0,8.0,8.0,150,50,5,20,2.5,2.5,Half-Life 2,14.04,,,,,,,,,,,
Player 3,4,3.0,44.0,21.0,9.0,9.0,25,100,5,20,2.5,2.5,Half-Life 2,13.02,,,,,,,,,,,
Player 1,5,3.0,62.0,17.0,23.0,20.0,0,150,0,20,0.0,0.0,Half-Life 2,21.54,,,,,,,,,,,
Player 3,3,3.0,39.0,14.0,10.0,10.0,50,50,15,25,0.0,2.5,Half-Life 2,18.43,,,,,,,,,,,
Player 74,4,,,,,,10,15,15,12,0.0,0.0,Rise of Tomb Raider,16.2,SIM,Indiferente,,,,,,,,,
Player 3,1,3.0,34.0,13.0,9.0,9.0,125,75,10,15,3.0,3.0,Half-Life 2,16.55,,,,,,,,,,,
Player 19,4,3.0,39.0,14.0,9.0,10.0,125,125,0,20,0.5,0.5,Half-Life 2,,SIM,Triste,19.0,M,Física,3.0,1080p,60.0,Nenhum,0.0,Mouse
